Round Number, No of CH
-1,0
1,9
2,4
3,4
4,6
5,6
6,4
7,8
8,4
9,5
10,7
11,5
12,3
13,5
14,9
15,3
16,5
17,2
18,5
19,6
20,5
21,7
22,4
23,5
24,6
25,4
26,7
27,3
28,5
29,4
30,5
31,8
32,4
33,1
34,6
35,2
36,6
37,4
38,8
39,6
40,8
41,8
42,5
43,4
44,6
45,2
46,4
47,5
48,4
49,4
50,5
51,6
52,8
53,5
54,4
55,5
56,3
57,5
58,4
59,5
60,4
61,5
62,4
63,7
64,3
65,4
66,7
67,9
68,3
69,4
70,4
71,4
72,7
73,5
74,7
75,8
76,5
77,3
78,4
79,3
80,5
81,3
82,1
83,4
84,4
85,7
86,6
87,9
88,4
89,7
90,4
91,3
92,4
93,6
94,7
95,5
96,3
97,6
98,4
99,8
100,3
101,3
102,5
103,8
104,4
105,3
106,5
107,5
108,10
109,4
110,4
111,4
112,5
113,9
114,3
115,6
116,2
117,5
118,8
119,4
120,2
121,6
122,5
123,6
124,7
125,4
126,3
127,6
128,5
129,6
130,5
131,5
132,6
133,5
134,6
135,5
136,4
137,5
138,4
139,5
140,2
141,8
142,3
143,10
144,5
145,4
146,4
147,3
148,4
149,7
150,9
151,3
152,4
153,1
154,8
155,6
156,9
157,2
158,4
159,3
160,7
161,4
162,4
163,6
164,5
165,0
166,4
167,5
168,7
169,7
170,4
171,8
172,6
173,7
174,5
175,4
176,1
177,5
178,6
179,3
180,3
181,3
182,5
183,6
184,9
185,8
186,6
187,2
188,4
189,3
190,13
191,2
192,6
193,3
194,3
195,3
196,5
197,3
198,4
199,6
200,5
201,7
202,1
203,3
204,5
205,2
206,7
207,3
208,8
209,6
210,7
211,1
212,7
213,2
214,8
215,5
216,9
217,2
218,4
219,2
220,3
221,8
222,4
223,6
224,3
225,6
226,4
227,5
228,3
229,5
230,9
231,5
232,5
233,4
234,3
235,2
236,5
237,6
238,3
239,4
240,4
241,6
242,4
243,5
244,3
245,4
246,5
247,5
248,5
249,2
250,4
251,2
252,5
253,5
254,3
255,2
256,5
257,9
258,4
259,4
260,3
261,5
262,3
263,4
264,3
265,2
266,9
267,6
268,3
269,3
270,2
271,3
272,3
273,6
274,8
275,10
276,2
277,2
278,3
279,1
280,1
281,1
282,7
283,4
284,4
285,4
286,9
287,1
288,6
289,1
290,5
291,3
292,3
293,4
294,2
295,8
296,4
297,1
298,3
299,4
300,3
301,2
302,3
303,3
304,4
305,3
306,4
307,4
308,6
309,5
310,2
311,0
312,5
313,5
314,3
315,5
316,2
317,5
318,6
319,4
320,3
321,7
322,2
323,3
324,4
325,5
326,3
327,0
328,7
329,3
330,4
331,7
332,4
333,7
334,3
335,5
336,0
337,2
338,3
339,2
340,5
341,5
342,7
343,5
344,2
345,5
346,3
347,3
348,0
349,2
350,1
351,5
352,3
353,4
354,3
355,6
356,1
357,2
358,5
359,7
360,3
361,5
362,2
363,4
364,1
365,5
366,5
367,4
368,2
369,6
370,4
371,4
372,5
373,2
374,2
375,5
376,3
377,4
378,5
379,3
380,1
381,5
382,6
383,3
384,4
385,4
386,3
387,8
388,2
389,1
390,6
391,7
392,3
393,1
394,2
395,5
396,1
397,7
398,3
399,1
400,3
401,3
402,3
403,5
404,2
405,3
406,3
407,9
408,3
409,2
410,4
411,3
412,5
413,2
414,4
415,7
416,0
417,1
418,7
419,3
420,3
421,5
422,6
423,5
424,2
425,4
426,3
427,2
428,6
429,0
430,3
431,1
432,6
433,3
434,2
435,6
436,1
437,6
438,6
439,1
440,5
441,2
442,1
443,7
444,3
445,2
446,3
447,5
448,3
449,4
450,2
451,5
452,2
453,2
454,1
455,7
456,6
457,2
458,3
459,4
460,7
461,4
462,3
463,6
464,2
465,5
466,1
467,0
468,1
469,4
470,3
471,4
472,3
473,4
474,3
475,4
476,2
477,3
478,4
479,2
480,5
481,4
482,2
483,4
484,3
485,2
486,2
487,3
488,4
489,3
490,6
491,3
492,4
493,4
494,1
495,0
496,3
497,2
498,5
499,3
500,4
501,5
502,3
503,3
504,2
505,1
506,3
507,3
508,3
509,4
510,4
511,2
512,3
513,4
514,4
515,4
516,2
517,3
518,1
519,4
520,2
521,6
522,1
523,5
524,5
525,1
526,3
527,4
528,1
529,3
530,2
531,0
532,3
533,1
534,4
535,2
536,3
537,2
538,9
539,4
540,5
541,5
542,3
543,2
544,4
545,2
546,4
547,2
548,0
549,3
550,2
551,2
552,5
553,4
554,5
555,2
556,4
557,2
558,1
559,3
560,4
561,2
562,3
563,3
564,5
565,6
566,3
567,0
568,2
569,0
570,0
571,2
572,5
573,3
574,5
575,2
576,5
577,0
578,3
579,3
580,4
581,6
582,3
583,1
584,2
585,1
586,4
587,2
588,2
589,3
590,5
591,1
592,4
593,3
594,1
595,3
596,4
597,2
598,1
599,3
600,1
601,1
602,5
603,3
604,2
605,4
606,1
607,4
608,0
609,6
610,1
611,2
612,3
613,4
614,3
615,3
616,3
617,2
618,3
619,3
620,2
621,2
622,3
623,1
624,4
625,2
626,1
627,5
628,2
629,5
630,2
631,3
632,3
633,1
634,0
635,5
636,2
637,2
638,5
639,4
640,2
641,1
642,5
643,2
644,3
645,2
646,3
647,2
648,3
649,3
650,1
651,6
652,4
653,0
654,2
655,5
656,2
657,2
658,0
659,4
660,2
661,2
662,0
663,4
664,3
665,5
666,6
667,0
668,4
669,0
670,3
671,3
672,4
673,3
674,0
675,0
676,3
677,2
678,8
679,0
680,4
681,4
682,6
683,0
684,3
685,3
686,0
687,2
688,1
689,3
690,2
691,2
692,3
693,3
694,3
695,2
696,1
697,3
698,5
699,2
700,6
701,3
702,2
703,3
704,3
705,3
706,3
707,1
708,0
709,2
710,2
711,1
712,2
713,2
714,2
715,2
716,5
717,1
718,3
719,4
720,1
721,2
722,3
723,2
724,2
725,2
726,4
727,2
728,1
729,4
730,2
731,3
732,1
733,5
734,3
735,2
736,2
737,3
738,1
739,1
740,2
741,2
742,1
743,2
744,3
745,4
746,4
747,2
748,2
749,1
750,2
751,3
752,4
753,0
754,0
755,1
756,0
757,5
758,1
759,7
760,4
761,2
762,1
763,3
764,0
765,3
766,4
767,2
768,4
769,0
770,2
771,4
772,2
773,1
774,3
775,3
776,1
777,3
778,2
779,2
780,2
781,4
782,2
783,1
784,1
785,4
786,5
787,1
788,1
789,2
790,3
791,2
792,2
793,3
794,1
795,5
796,2
797,2
798,1
799,2
800,7
801,1
802,2
803,2
804,1
805,2
806,2
807,3
808,1
809,2
810,0
811,3
812,2
813,3
814,1
815,4
816,3
817,2
818,3
819,2
820,1
821,1
822,2
823,1
824,2
825,3
826,4
827,3
828,3
829,3
830,1
831,4
832,1
833,3
834,2
835,1
836,3
837,2
838,3
839,2
840,5
841,3
842,1
843,0
844,1
845,1
846,1
847,2
848,4
849,4
850,2
851,1
852,3
853,5
854,3
855,0
856,1
857,2
858,3
859,2
860,0
861,1
862,3
863,4
864,4
865,4
866,0
867,1
868,4
869,1
870,3
871,2
872,3
873,2
874,1
875,1
876,4
877,2
878,3
879,0
880,4
881,3
882,0
883,4
884,0
885,1
886,1
887,2
888,1
889,2
890,1
891,1
892,3
893,1
894,3
895,4
896,0
897,1
898,1
899,1
900,2
901,1
902,3
903,2
904,0
905,1
906,2
907,2
908,1
909,1
910,0
911,3
912,1
913,1
914,1
915,3
916,2
917,1
918,1
919,2
920,1
921,3
922,3
923,2
924,2
925,0
926,1
927,1
928,2
929,0
930,3
931,2
932,4
933,1
934,1
935,0
936,0
937,1
938,2
939,1
940,0
941,1
942,4
943,3
944,1
945,2
946,1
947,2
948,1
949,0
950,1
951,2
952,1
953,2
954,1
955,1
956,0
957,2
958,0
959,3
960,1
961,0
962,1
963,2
964,3
965,1
966,1
967,0
968,1
969,1
970,1
971,1
972,1
973,2
974,1
975,0
976,0
977,2
978,2
979,0
980,0
981,1
982,0
983,2
984,1
985,1
986,3
987,0
988,0
989,0
990,1
991,0
992,0
993,3
994,0
995,0
996,1
997,1
998,1
999,0
1000,1
1001,1
1002,0
1003,0
1004,0
1005,1
1006,0
1007,2
1008,1
1009,1
1010,0
1011,0
1012,1
1013,0
1014,0
1015,1
1016,1
1017,0
1018,3
1019,0
1020,1
1021,1
1022,0
1023,1
1024,1
1025,1
1026,0
1027,0
1028,0
1029,0
1030,0
1031,1
1032,0
1033,2
1034,0
1035,1
1036,1
1037,0
1038,0
1039,0
1040,1
1041,0
1042,0
1043,1
1044,0
1045,1
1046,1
1047,0
1048,1
1049,0
1050,1
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,0
1058,0
1059,1
1060,0
